class_id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312
1,0,2.919708029,1.459854015,0,59.8540146,26.27737226,3.649635037,5.839416058,0,1.639344262,45.90163934,3.278688525,0,2.459016393,24.59016393,0,0,0,0,0,31.96721311,3.278688525,2.459016393,28.68852459,1.801801802,48.64864865,3.603603604,0,1.801801802,20.72072072,0,0,0,0,0,23.42342342,2.702702703,5.405405405,29.72972973,2.127659574,29.78723404,4.255319149,0,5.319148936,39.36170213,0,0,0,0,0,23.40425532,8.510638298,6.382978723,18.08510638,78.5046729,0,3.738317757,17.75700935,1.923076923,44.23076923,1.923076923,0,2.884615385,21.15384615,0,0,0,0,0,22.11538462,1.923076923,5.769230769,30.76923077,2.083333333,23.95833333,23.95833333,16.66666667,23.95833333,9.375,3.529411765,31.76470588,4.705882353,0,3.529411765,22.35294118,0,0,0,0,0,22.35294118,16.47058824,7.058823529,22.35294118,4,5.6,0,6.4,5.6,7.2,12,36.8,16,6.4,6.4,1.785714286,33.92857143,2.678571429,0,4.464285714,33.03571429,0,0,0,0,0,21.42857143,2.678571429,5.357142857,19.64285714,1.428571429,31.42857143,3.571428571,0,2.857142857,23.57142857,0,0,0,0,0,20,7.857142857,6.428571429,28.57142857,0,3.787878788,0,0,2.272727273,1.515151515,0,0,0,0,81.06060606,8.333333333,4.545454545,0.757575758,82.26950355,7.80141844,9.929078014,1.449275362,14.49275362,2.173913043,0,0,29.71014493,0,0,0,0,0,11.5942029,31.15942029,6.52173913,27.53623188,2.197802198,35.16483516,2.197802198,0,5.494505495,27.47252747,0,0,0,0,0,30.76923077,19.78021978,6.593406593,21.97802198,1.515151515,40.15151515,2.272727273,0,3.03030303,26.51515152,0,0,0,0,0,18.18181818,5.303030303,6.060606061,23.48484848,2.247191011,25.84269663,3.370786517,0,5.617977528,29.21348315,0,0,0,0,0,21.34831461,7.865168539,6.741573034,25.84269663,13.76146789,20.18348624,11.00917431,11.00917431,52.29357798,19.23076923,10,1.538461538,66.92307692,2.307692308,7.462686567,0,2.23880597,33.58208955,0,34.32835821,0,0.746268657,0,8.208955224,1.492537313,2.985074627,3.731343284,5.223880597,58.58585859,3.03030303,18.18181818,20.2020202,45.74468085,3.191489362,14.89361702,36.17021277,81.70731707,0,3.658536585,14.63414634,2.013422819,48.32214765,1.342281879,0,2.013422819,24.83221477,0,0,0,0,0,26.84563758,2.684563758,4.026845638,24.16107383,4.166666667,16.66666667,0,0,0,27.08333333,0,0,0,0,0,39.58333333,0,12.5,10.41666667,2.127659574,20.56737589,2.127659574,0,0,34.75177305,0,0,0,0,0,32.62411348,4.255319149,6.382978723,21.9858156,2.127659574,24.11347518,3.546099291,0,0,32.62411348,0,0,0,0,0,21.27659574,11.34751773,2.127659574,31.91489362,53.57142857,5.357142857,21.42857143,19.64285714
2,4.411764706,4.411764706,2.941176471,1.470588235,57.35294118,27.20588235,0,2.205882353,0,0,37.27272727,0,0,0,20.90909091,0,0,0,0,0,52.72727273,9.090909091,0,7.272727273,0,41.66666667,0,0,0,17.70833333,0,0,0,0,0,51.04166667,20.83333333,0,2.083333333,0,0.917431193,0,0,0,4.587155963,0,0,0,0,0,6.422018349,93.57798165,0,0,95.90163934,0,0,4.098360656,0,44.44444444,0,0,0,11.11111111,0,0,0,0,0,41.11111111,24.44444444,0,3.333333333,5.405405405,17.56756757,14.86486486,12.16216216,24.32432432,25.67567568,0,20.83333333,0,0,0,8.333333333,0,0,0,0,0,40.27777778,36.11111111,0,0,0,0.847457627,1.694915254,16.10169492,7.627118644,0.847457627,2.542372881,31.3559322,42.37288136,2.542372881,2.542372881,0,0.840336134,0,0,0,3.361344538,0,0,0,0,0,2.521008403,93.27731092,0,0,1.503759399,0.751879699,0,0,0,12.03007519,0,0,0,0,0,6.015037594,89.47368421,0,0,0,1.652892562,0,0,0,0,0,0,0,0,99.17355372,1.652892562,0,0,65.35433071,31.49606299,3.149606299,0,0.775193798,0,0,0,1.550387597,0,0,0,0,0,2.325581395,96.89922481,0,0,0,17.5,0,0,0,8.75,0,0,0,0,0,65,31.25,0,0,0,4.8,0,0,0,4.8,0,0,0,0,0,1.6,92,0,1.6,0,0.917431193,0,0,0,4.587155963,0,0,0,0,0,5.504587156,91.74311927,0,0,7.070707071,14.14141414,10.1010101,14.14141414,62.62626263,31.62393162,1.709401709,17.94871795,48.71794872,0,5.555555556,5.555555556,1.587301587,25.3968254,0,39.68253968,2.380952381,0.793650794,0,3.968253968,0,9.523809524,3.968253968,1.587301587,68.88888889,3.333333333,7.777777778,20,55.84415584,1.298701299,6.493506494,36.36363636,95.45454545,0,0,4.545454545,0,30.65693431,0,0,0,19.7080292,0,0,0,0,0,43.06569343,86.13138686,0,5.839416058,0,8.510638298,0,0,2.127659574,19.14893617,0,0,0,0,4.255319149,6.382978723,38.29787234,0,38.29787234,2.272727273,1.515151515,0,0,0,24.24242424,0,0,0,0,18.18181818,1.515151515,20.45454545,0,56.06060606,0,3.007518797,0,0,0,2.255639098,0,0,0,0,2.255639098,2.255639098,94.73684211,0,0,77.14285714,3.80952381,10.47619048,8.571428571
3,0,3.973509934,3.311258278,0,70.86092715,14.56953642,5.298013245,1.986754967,0,0,26.66666667,0,0,0,47.5,0,0,1.666666667,2.5,0,26.66666667,11.66666667,2.5,11.66666667,1.886792453,19.81132075,0,2.830188679,0,47.16981132,0,0,0,0,2.830188679,24.52830189,14.1509434,0,22.64150943,3.773584906,17.9245283,0,5.660377358,0,40.56603774,0,0,0,0,0,24.52830189,14.1509434,0,14.1509434,74.6031746,3.174603175,4.761904762,17.46031746,1.818181818,19.09090909,0,2.727272727,0,47.27272727,0,0,0,0,2.727272727,13.63636364,21.81818182,0,19.09090909,1.052631579,10.52631579,7.368421053,8.421052632,60,12.63157895,2.222222222,16.66666667,0,0,0,56.66666667,0,0,0,0,3.333333333,20,6.666666667,0,20,0,0.751879699,2.255639098,0.751879699,12.78195489,3.007518797,36.09022556,39.09774436,3.007518797,4.511278195,6.766917293,3.076923077,21.53846154,0,4.615384615,0,46.92307692,0,0,0,0,2.307692308,23.07692308,17.69230769,0,10.76923077,1.503759399,18.04511278,0,4.511278195,0,27.06766917,2.255639098,0,0,0,0,45.11278195,9.77443609,0,9.77443609,0.714285714,1.428571429,0,0,6.428571429,0,0,0,2.142857143,0,78.57142857,34.28571429,0,1.428571429,86.86131387,8.02919708,5.109489051,0,24,0,2.4,0,18.4,2.4,0,0,0,0,49.6,2.4,0,11.2,2.53164557,18.98734177,0,0,0,44.30379747,0,0,0,3.797468354,0,39.24050633,10.12658228,0,11.39240506,2.941176471,16.91176471,0,4.411764706,0,47.79411765,0,0,0,0,2.205882353,13.97058824,18.38235294,0,17.64705882,2.830188679,19.81132075,0,5.660377358,0,33.96226415,0,0,0,2.830188679,0,25.47169811,16.03773585,0,11.32075472,8.823529412,20.58823529,4.901960784,24.50980392,47.05882353,14.51612903,19.35483871,1.612903226,59.67741935,4.838709677,10.9375,0,1.5625,10.9375,0,38.28125,3.125,10.15625,0,5.46875,2.34375,1.5625,15.625,0,69.44444444,2.777777778,9.259259259,18.51851852,74.69879518,3.614457831,1.204819277,20.48192771,78.21782178,2.97029703,6.930693069,11.88118812,3.355704698,25.5033557,0,4.026845638,0,48.32214765,0,0,0,0,2.013422819,30.20134228,9.395973154,0,18.12080537,0,0,0,0,0,40.47619048,7.142857143,0,0,7.142857143,0,14.28571429,14.28571429,0,30.95238095,2.684563758,6.040268456,1.342281879,2.013422819,0,21.47651007,0,0,0,0,2.013422819,75.16778523,8.724832215,0,0,0,24.26470588,0,4.411764706,0,34.55882353,0,0,0,2.205882353,0,38.97058824,2.941176471,0,16.17647059,71.02803738,0.934579439,7.476635514,20.56074766
4,0,1.459854015,10.2189781,0,0,0,8.759124088,25.54744526,54.01459854,5.839416058,8.02919708,4.379562044,0,0,4.379562044,0,0,0,0,0,96.35036496,1.459854015,0,2.919708029,6.153846154,6.153846154,7.692307692,0,0,4.615384615,0,0,0,0,0,93.07692308,1.538461538,0,1.538461538,6.766917293,1.503759399,9.022556391,0,0,5.263157895,0,0,0,0,0,92.48120301,2.255639098,0,0,85.6,2.4,2.4,9.6,5.882352941,6.722689076,7.56302521,0,0,2.521008403,0,0,0,0,0,92.43697479,0.840336134,0,0,0,20.58823529,37.25490196,13.7254902,23.52941176,4.901960784,7.01754386,6.140350877,3.50877193,0,0,4.385964912,0,0,0,0,0,91.22807018,1.754385965,0,0,2.23880597,0,8.208955224,0,0,14.17910448,2.985074627,66.41791045,8.955223881,2.23880597,1.492537313,6.818181818,1.515151515,2.272727273,0,0,4.545454545,0,0,0,0,0,94.6969697,2.272727273,0,0,6.12244898,1.360544218,6.12244898,0,0,6.12244898,0,0,0,0,0,90.47619048,2.040816327,0,2.040816327,2.054794521,0,0,2.054794521,0,0,0,0,0,0,97.94520548,0,0,0,23.02158273,0,76.97841727,6.293706294,1.398601399,4.195804196,0,0,9.79020979,0,0,0,0,0,88.81118881,2.097902098,0,2.097902098,6.611570248,6.611570248,3.305785124,0,0,1.652892562,0,0,0,0,0,94.21487603,3.305785124,0,0,5.797101449,1.449275362,4.347826087,0,0,7.246376812,0,0,0,0,0,88.4057971,1.449275362,0,2.173913043,6.25,0,2.34375,0,0,1.5625,0,1.5625,0,0,0,94.53125,1.5625,0,0,44.59459459,18.91891892,14.86486486,18.91891892,2.702702703,6.870229008,65.64885496,0,15.26717557,12.21374046,2.307692308,0,0,0,0,6.153846154,3.846153846,15.38461538,3.846153846,25.38461538,4.615384615,0.769230769,6.153846154,31.53846154,87.28813559,2.542372881,2.542372881,7.627118644,92.92035398,0,4.424778761,2.654867257,96.03174603,0,0,3.968253968,5.405405405,3.378378378,6.081081081,0,0,2.027027027,0,0,0,0,0,96.62162162,1.351351351,0,0,5.405405405,7.207207207,0,0,0,16.21621622,0,0,0,0,0,73.87387387,4.504504505,0,4.504504505,0.699300699,5.594405594,0,0,0,26.57342657,0,0,0,0,0,76.92307692,2.097902098,0,1.398601399,4.285714286,1.428571429,6.428571429,2.142857143,0,5,0,0,0,0,0,88.57142857,0,0,2.142857143,84.12698413,2.380952381,3.174603175,10.31746032
5,0,0,3.225806452,0,1.075268817,0,0,32.25806452,63.44086022,0,15,7.5,2.5,0,28.75,0,0,0,0,2.5,87.5,0,0,3.75,0,11.11111111,6.666666667,2.222222222,0,24.44444444,0,0,0,0,0,86.66666667,3.333333333,0,3.333333333,0,6.603773585,5.660377358,0,0,57.54716981,0,0,0,0,0,34.90566038,10.37735849,0,4.716981132,88.67924528,0,5.660377358,5.660377358,0,6.493506494,3.896103896,2.597402597,0,23.37662338,0,0,0,0,0,84.41558442,3.896103896,0,3.896103896,0,11.53846154,34.61538462,3.846153846,19.23076923,30.76923077,0,9.803921569,11.76470588,3.921568627,0,23.52941176,0,0,0,0,0,90.19607843,0,0,5.882352941,0,0.862068966,79.31034483,0,6.034482759,0,2.586206897,6.034482759,18.96551724,0,0,0,7.547169811,5.660377358,1.886792453,0,52.83018868,0,0,0,0,0,42.45283019,7.547169811,0,2.830188679,0,5.084745763,2.542372881,1.694915254,0,32.20338983,0,0,0,0,0,72.88135593,5.93220339,0,2.542372881,15.04424779,0.884955752,0,0,2.654867257,0,0,0,0,0,37.16814159,84.07079646,0,0,3.50877193,0,96.49122807,0,3.50877193,2.631578947,1.754385965,0,17.54385965,0,0,0,0,0,88.59649123,7.01754386,0,3.50877193,0,6.976744186,13.95348837,0,0,27.90697674,0,0,0,0,0,86.04651163,0,0,6.976744186,0,5.357142857,2.678571429,1.785714286,0,20.53571429,0,0,0,0,0,83.03571429,9.821428571,0,2.678571429,0,8,6,0,0,58,0,0,0,0,0,39,8,0,5,20.51282051,58.97435897,7.692307692,5.128205128,15.38461538,15.55555556,16.66666667,0,67.77777778,0,43.29896907,7.216494845,0,10.30927835,0,2.06185567,0,10.30927835,0,1.030927835,0,22.68041237,0,3.092783505,92.10526316,0,3.947368421,3.947368421,82.60869565,0,6.52173913,10.86956522,92.23300971,0,2.912621359,4.854368932,0,11.9266055,5.504587156,1.834862385,0,48.62385321,0,0,0,0,0,76.14678899,5.504587156,0,2.752293578,7.5,5,7.5,6.25,0,63.75,0,0,0,0,0,31.25,0,0,0,0,0.884955752,0,0,0,4.424778761,10.61946903,0,0,0,61.0619469,3.539823009,7.96460177,18.5840708,15.92920354,0,4.545454545,2.727272727,1.818181818,0,19.09090909,0,0,0,0,0,82.72727273,5.454545455,0,4.545454545,88.46153846,0,3.846153846,7.692307692
6,0,0,0,0,0,4.12371134,7.216494845,77.31958763,11.34020619,0,11.68831169,0,0,0,42.85714286,0,2.597402597,0,0,0,64.93506494,63.63636364,0,0,0,4.761904762,0,0,0,51.19047619,0,3.571428571,0,0,0,63.0952381,44.04761905,0,3.571428571,0,0,7.920792079,0,0,45.54455446,0,2.97029703,0,0,0,50.49504951,73.26732673,0,2.97029703,13.46153846,19.23076923,56.73076923,10.57692308,0,5.333333333,0,0,0,33.33333333,0,2.666666667,0,0,0,68,22.66666667,0,0,0,7.547169811,43.39622642,3.773584906,13.20754717,32.0754717,0,12.76595745,0,0,0,38.29787234,0,4.255319149,0,0,0,70.21276596,46.80851064,0,6.382978723,0,26.13636364,0,0,0,15.90909091,27.27272727,22.72727273,11.36363636,10.22727273,10.22727273,0,2.97029703,2.97029703,0,0,40.59405941,0,2.97029703,0,0,0,52.47524752,81.18811881,0,0,2.857142857,0,0,0,0,21.9047619,0,1.904761905,0,0,0,35.23809524,75.23809524,0,0,0,0,0,0,2.803738318,2.803738318,0,0,0,2.803738318,32.71028037,91.58878505,0,0,0.961538462,0,99.03846154,0,2.857142857,0,0,0,43.80952381,0,1.904761905,0,0,0,62.85714286,23.80952381,0,2.857142857,0,0,0,0,0,33.33333333,0,1.960784314,0,0,0,58.82352941,56.8627451,0,7.843137255,0,7.547169811,0,0,0,33.01886792,0,2.830188679,0,2.830188679,0,66.03773585,16.03773585,0,0,0,0,2.97029703,0,0,46.53465347,0,2.97029703,0,0,0,46.53465347,77.22772277,0,5.940594059,39.62264151,26.41509434,28.30188679,1.886792453,3.773584906,6.315789474,41.05263158,0,37.89473684,14.73684211,16.84210526,4.210526316,0,17.89473684,0,5.263157895,5.263157895,5.263157895,0,6.315789474,3.157894737,12.63157895,2.105263158,21.05263158,48.57142857,11.42857143,18.57142857,21.42857143,29.09090909,16.36363636,21.81818182,32.72727273,3.03030303,32.32323232,52.52525253,12.12121212,0,3.80952381,0,0,0,39.04761905,0,1.904761905,0,2.857142857,0,62.85714286,55.23809524,0,0,3.409090909,0,0,3.409090909,0,60.22727273,0,2.272727273,0,0,0,39.77272727,21.59090909,0,0,0,3.06122449,0,0,34.69387755,8.163265306,0,2.040816327,0,3.06122449,4.081632653,69.3877551,3.06122449,24.48979592,2.040816327,0,0,0,0,0,34.31372549,0,1.960784314,0,0,0,63.7254902,10.78431373,1.960784314,4.901960784,16.21621622,12.16216216,48.64864865,22.97297297
7,0,0,1.612903226,0,1.612903226,5.64516129,2.419354839,30.64516129,58.06451613,1.724137931,4.310344828,0,1.724137931,0,37.06896552,0,0,0,0,0,81.03448276,15.51724138,0,0,1.62601626,4.06504065,0,0,0,44.71544715,0,0,0,2.43902439,0,77.23577236,11.38211382,0,0,0,0,0,0,0,24.78632479,2.564102564,0,0,0,0,18.8034188,90.5982906,0,0,32.28346457,18.8976378,17.32283465,31.49606299,0,4.237288136,0,0,2.542372881,27.11864407,0,0,0,0,0,82.20338983,11.86440678,0,0,0,16.98113208,18.86792453,13.20754717,22.64150943,28.30188679,0,9.523809524,0,0,0,34.52380952,0,0,0,0,0,72.61904762,7.142857143,0,0,1.550387597,10.85271318,3.875968992,0,1.550387597,7.751937985,17.82945736,20.93023256,44.96124031,0,1.550387597,0,3.846153846,2.307692308,0,0,39.23076923,0,0,0,0,0,35.38461538,80.76923077,0,1.538461538,0,5.755395683,0,0,0,43.16546763,0,0,0,0,2.158273381,54.67625899,46.04316547,0,0,0,2.068965517,0,0,4.137931034,0,0,0,0,0,40,89.65517241,0,0,3.546099291,2.127659574,94.32624113,1.351351351,7.432432432,0,0,0,22.2972973,0,0,0,0,0,77.7027027,0,0,0,0,6.41025641,0,0,0,28.20512821,0,0,0,3.846153846,0,58.97435897,32.05128205,0,0,1.351351351,5.405405405,0,0,0,26.35135135,0,0,0,2.027027027,0,77.02702703,12.83783784,2.027027027,0,0,0,0,0,0,14.7826087,0,0,0,2.608695652,0,10.43478261,93.04347826,0,0,28.88888889,31.11111111,33.33333333,6.666666667,2.222222222,4.347826087,26.08695652,4.347826087,65.2173913,0,32.20338983,1.694915254,0,21.18644068,0,5.084745763,0,22.88135593,3.389830508,2.542372881,2.542372881,5.93220339,0,2.542372881,70.1754386,2.631578947,13.15789474,14.03508772,72.46376812,4.347826087,5.797101449,17.39130435,81.98198198,7.207207207,6.306306306,4.504504505,0.71942446,5.755395683,0,0,0,39.56834532,0,0,0,0,2.158273381,73.38129496,51.07913669,1.438848921,0,0,2.105263158,0,0,0,72.63157895,0,0,0,0,0,24.21052632,35.78947368,0,1.052631579,1.388888889,2.083333333,0,0,9.027777778,6.25,1.388888889,0,0,1.388888889,41.66666667,3.472222222,4.166666667,44.44444444,0,0,5.442176871,0,0,0,21.76870748,1.360544218,0,0,2.040816327,0,79.59183673,0,0,0,63.80952381,2.857142857,15.23809524,18.0952381
8,0,2.941176471,10.78431373,0,7.843137255,11.76470588,30.39215686,17.64705882,18.62745098,0,41.11111111,0,2.222222222,0,18.88888889,2.222222222,0,0,0,0,70,0,0,4.444444444,0,36.08247423,3.092783505,0,0,26.80412371,0,0,0,0,0,73.19587629,3.092783505,0,10.30927835,0,22.95081967,3.278688525,0,0,50.81967213,0,0,0,0,0,32.78688525,11.47540984,0,6.557377049,65.97938144,0,17.5257732,16.49484536,0,37.11340206,0,0,0,18.55670103,2.06185567,0,0,0,0,67.01030928,0,0,3.092783505,0,9.433962264,16.98113208,28.30188679,22.64150943,22.64150943,0,38.23529412,0,0,0,20.58823529,2.941176471,0,0,0,0,69.11764706,4.411764706,0,2.941176471,0,10.57692308,8.653846154,0,2.884615385,22.11538462,23.07692308,27.88461538,9.615384615,0,0,0,25.77319588,5.154639175,0,0,49.48453608,0,0,0,0,0,39.17525773,12.37113402,0,15.46391753,0,15.53398058,0,0,0,45.63106796,0,0,0,0,2.912621359,45.63106796,1.941747573,0,3.883495146,2.941176471,14.70588235,0,0,6.862745098,6.862745098,0,0,0,5.882352941,62.74509804,5.882352941,2.941176471,10.78431373,34.61538462,2.884615385,62.5,0,23.47826087,0,0,0,40,0,0,0,0,0,55.65217391,0,0,0,0,27.11864407,3.389830508,0,0,23.72881356,3.389830508,0,0,0,0,66.10169492,0,0,3.389830508,0,25.45454545,2.727272727,0,0,24.54545455,0,0,0,0,0,61.81818182,8.181818182,0,0,0,22.4137931,3.448275862,0,0,41.37931034,0,0,0,0,0,31.03448276,18.96551724,0,12.06896552,44.06779661,25.42372881,32.20338983,10.16949153,0,19.04761905,22.85714286,0,58.0952381,0,23.58490566,0,0,49.05660377,0,7.547169811,0,4.716981132,0,7.547169811,0.943396226,3.773584906,0,2.830188679,76.59574468,0,11.70212766,11.70212766,75.40983607,0,13.1147541,11.47540984,64.9122807,0,19.29824561,15.78947368,0,33.05084746,0,0,0,30.50847458,2.542372881,0,0,2.542372881,5.93220339,70.33898305,2.542372881,0,6.779661017,0,17.85714286,0,0,0,10.71428571,7.142857143,0,0,0,0,10.71428571,0,10.71428571,60.71428571,0,19.62616822,0,0,0,7.476635514,26.1682243,0,0,0,48.59813084,12.14953271,2.803738318,4.672897196,9.345794393,0,17.11711712,0,0,0,33.33333333,0,0,0,0,0,65.76576577,2.702702703,2.702702703,0,64.19753086,0,19.75308642,16.04938272
9,0,6.015037594,0,0,0,0,69.17293233,24.81203008,0,9.027777778,4.166666667,12.5,0,0,6.25,2.083333333,2.083333333,0,0,0,76.38888889,0,0,4.861111111,9.090909091,9.090909091,14.39393939,2.272727273,0,12.12121212,0,0,0,0,0,71.21212121,0,0,1.515151515,6.569343066,6.569343066,10.2189781,0,0,13.13868613,0,1.459854015,0,0,0,72.26277372,2.189781022,0,6.569343066,79.10447761,2.23880597,4.47761194,14.17910448,9.448818898,6.299212598,11.02362205,0,0,7.874015748,0,0,0,0,0,75.59055118,0,0,3.149606299,2.830188679,13.20754717,39.62264151,10.37735849,19.81132075,14.1509434,8.256880734,5.504587156,11.00917431,0,0,5.504587156,0,0,0,0,0,79.81651376,0,0,1.834862385,0,2.857142857,0,0,0,1.428571429,30.71428571,55.71428571,8.571428571,1.428571429,1.428571429,7.352941176,3.676470588,12.5,1.470588235,0,13.97058824,2.205882353,1.470588235,0,0,0,71.32352941,0,0,6.617647059,7.092198582,6.382978723,6.382978723,3.546099291,0,6.382978723,0,0,0,0,0,74.46808511,0,0,4.255319149,0,0,0,0,1.379310345,17.24137931,0,0,0,2.068965517,61.37931034,41.37931034,0,4.137931034,32.14285714,0,67.85714286,6.896551724,10.34482759,7.586206897,3.448275862,0,6.896551724,0,0,0,0,0,66.89655172,0,0,3.448275862,7.692307692,5.128205128,7.692307692,0,0,5.982905983,0,0,0,0,0,78.63247863,0,0,1.709401709,6.293706294,9.090909091,12.58741259,4.895104895,0,13.98601399,0,0,0,0,0,62.23776224,0,0,1.398601399,6.71641791,4.47761194,12.68656716,1.492537313,0,12.68656716,0,1.492537313,0,0,0,73.88059701,0,0,5.970149254,50.66666667,14.66666667,13.33333333,8,13.33333333,0,75.73529412,0,19.11764706,5.147058824,0,0,0,0,0,8.59375,6.25,16.40625,2.34375,15.625,7.03125,9.375,2.34375,32.03125,76,0,8,16,85.24590164,0,6.557377049,8.196721311,85.60606061,4.545454545,1.515151515,8.333333333,9.090909091,6.493506494,10.38961039,0,0,9.090909091,1.948051948,0,0,0,0,73.37662338,0,0,3.896103896,4.8,4,4,0,0,26.4,0,0,0,0,0,71.2,0,0,3.2,4.225352113,1.408450704,2.112676056,0,0,9.85915493,1.408450704,0,0,0,0,83.8028169,3.521126761,0,1.408450704,5.673758865,11.34751773,3.546099291,4.255319149,0,5.673758865,0,0,0,0,0,71.63120567,0,0,3.546099291,75.38461538,2.307692308,9.230769231,13.07692308
10,0,16.89189189,0,0,0,0,49.32432432,33.78378378,0,0,1.910828025,0,0,1.910828025,0,27.38853503,0,0,0,39.49044586,91.08280255,21.65605096,49.04458599,3.821656051,0,2,2,0,2,4,15.33333333,0,0,0,33.33333333,96.66666667,8.666666667,23.33333333,5.333333333,0,1.265822785,5.696202532,0,0,3.797468354,0,0,0,0,0,98.73417722,0,0,0,98.08917197,0,1.910828025,0,0,1.459854015,2.189781022,0,0,4.379562044,0,0,0,0,2.189781022,98.54014599,0,4.379562044,0,2.02020202,10.1010101,39.39393939,21.21212121,17.17171717,10.1010101,0,1.680672269,2.521008403,0,0,5.042016807,0,0,0,0,0,98.31932773,0,0,2.521008403,1.886792453,1.257861635,0,1.257861635,0,0,1.257861635,94.33962264,0,0,0,0,1.886792453,1.886792453,0,0,1.886792453,0,0,0,0,0,98.11320755,0,0,0,0,0,1.764705882,0,0,1.764705882,0,0,0,0,0,98.23529412,0,1.764705882,0,0,0,0,0,0,0,0,0,0,0,98.7804878,1.219512195,0,0,38.25503356,0,61.74496644,0,1.764705882,1.764705882,0,0,1.764705882,0,0,0,0,0,98.23529412,0,0,0,0,2.362204724,4.724409449,0,0,7.086614173,0,0,0,0,0,100,0.787401575,0,2.362204724,0,1.807228916,3.614457831,0,0,4.819277108,0,0,0,0,0,96.98795181,0,0,0,0,1.923076923,1.923076923,0,0,1.923076923,0,0,0,0,0,98.07692308,0,0,0,52.08333333,33.33333333,2.083333333,4.166666667,8.333333333,0,87.69230769,0,6.923076923,5.384615385,0,0,0,0,0,0,4.895104895,3.496503497,4.195804196,0.699300699,7.692307692,0,3.496503497,75.52447552,77.20588235,2.205882353,2.205882353,18.38235294,96.57534247,0,2.054794521,1.369863014,98.06451613,0,1.935483871,0,0,1.744186047,3.488372093,0,0,3.488372093,0,0,0,0,0,98.25581395,0,0,0,0,4.054054054,0,0,0,32.43243243,0,0,0,0,0,66.21621622,3.378378378,0,2.702702703,1.863354037,1.242236025,0,0,0,36.02484472,0,0,0,0,0,67.70186335,1.242236025,1.242236025,0,0,1.775147929,1.775147929,0,0,3.550295858,0,0,0,0,0,98.22485207,1.183431953,1.183431953,0,15.23178808,1.324503311,7.284768212,76.1589404
