image_id,x,y,width,height
1,60,27,325,304
2,139,30,153,264
3,14,112,388,186
4,112,90,255,242
5,70,50,134,303
6,33,53,251,395
7,7,75,420,262
8,78,86,333,158
9,112,76,221,189
10,27,4,199,201
11,1,52,342,260
12,47,21,179,249
13,36,32,197,457
14,37,40,262,184
15,23,80,395,237
16,141,87,256,211
17,40,38,254,209
18,45,58,254,249
19,135,83,304,181
20,23,195,255,122
21,11,77,281,139
22,5,4,210,130
23,154,93,188,165
24,50,25,156,139
25,172,106,265,214
26,37,61,409,180
27,65,62,309,345
28,1,2,499,286
29,97,3,235,254
30,90,29,224,211
31,38,15,314,301
32,20,91,416,203
33,82,52,260,260
34,66,115,360,214
35,19,18,464,294
36,72,40,286,225
37,216,119,221,154
38,40,4,368,445
39,69,57,199,141
40,130,29,202,393
41,53,46,302,317
42,25,17,368,299
43,137,64,287,156
44,111,42,133,219
45,58,51,388,211
46,13,28,212,283
47,5,127,496,131
48,113,260,127,130
49,49,69,253,211
50,24,144,433,130
51,151,152,310,200
52,157,45,103,324
53,60,29,432,355
54,131,36,212,304
55,152,86,120,141
56,2,45,189,120
57,214,87,204,179
58,46,24,197,117
59,72,29,224,262
60,96,77,260,170
61,144,40,333,165
62,202,28,164,340
63,72,68,383,225
64,60,128,438,106
65,32,35,259,361
66,41,79,387,202
67,156,35,126,259
68,108,123,230,149
69,82,75,308,260
70,89,172,108,146
71,83,124,211,250
72,75,80,375,277
73,41,31,384,260
74,45,31,268,306
75,38,91,316,193
76,137,72,202,211
77,15,25,409,274
78,193,46,202,195
79,99,115,316,284
80,71,50,312,236
81,67,25,358,248
82,109,13,276,295
83,35,114,418,216
84,41,89,378,304
85,8,75,350,424
86,157,36,195,365
87,30,7,437,321
88,58,91,332,256
89,84,25,285,307
90,193,53,244,254
91,119,42,118,123
92,18,60,459,239
93,135,120,201,138
94,45,10,322,281
95,120,60,101,218
96,151,23,274,351
97,46,71,403,280
98,118,19,222,294
99,24,53,361,181
100,13,58,473,243
101,125,72,306,149
102,92,47,331,260
103,152,41,187,271
104,83,90,245,394
105,127,55,252,182
106,116,18,283,314
107,64,94,287,223
108,138,88,120,156
109,43,62,286,432
110,148,115,149,193
111,136,66,171,243
112,140,100,237,199
113,31,52,377,172
114,26,53,331,211
115,183,80,237,200
116,128,109,221,198
117,165,48,166,268
118,145,42,182,288
119,92,69,366,269
120,77,93,163,178
121,196,96,222,147
122,102,128,396,148
123,105,133,168,283
124,169,41,180,249
125,1,134,316,345
126,36,63,448,252
127,92,117,327,121
128,55,49,176,150
129,206,107,140,115
130,98,24,240,313
131,114,30,205,281
132,75,2,397,330
133,86,57,130,270
134,49,75,366,157
135,33,118,235,173
136,121,74,149,134
137,134,96,123,289
138,165,34,288,296
139,98,140,181,247
140,6,1,493,497
141,89,168,160,245
142,9,67,312,252
143,1,14,250,248
144,1,15,415,302
145,191,51,233,253
146,0,67,212,163
147,122,35,377,297
148,105,77,267,159
149,16,36,190,289
150,12,9,466,307
151,14,39,455,167
152,165,55,128,219
153,37,35,142,141
154,113,91,287,153
155,15,46,410,338
156,145,104,217,215
157,136,6,222,340
158,22,13,325,428
159,0,0,400,378
160,139,33,337,319
161,247,62,217,251
162,123,46,267,408
163,55,65,319,364
164,0,74,443,200
165,14,7,477,327
166,22,98,449,192
167,27,37,283,232
168,96,58,246,351
169,177,13,174,333
170,132,82,268,206
171,150,44,156,192
172,37,18,222,290
173,209,1,145,326
174,236,36,123,115
175,95,65,379,185
176,20,18,314,367
177,19,9,183,405
178,77,38,171,158
179,214,30,151,327
180,17,87,433,262
181,140,76,141,297
182,62,108,308,310
183,113,88,216,268
184,61,41,230,414
185,226,140,163,109
186,63,90,435,199
187,115,62,323,286
188,71,43,320,245
189,200,149,111,117
190,166,113,233,152
191,170,73,145,212
192,62,28,234,355
193,86,100,161,329
194,61,52,377,290
195,205,140,182,173
196,228,28,187,281
197,166,86,207,214
198,174,29,264,370
199,102,103,209,342
200,103,46,174,328
201,165,86,126,156
202,92,94,213,295
203,102,56,117,176
204,247,135,106,171
205,68,157,242,220
206,24,58,432,238
207,169,105,220,221
208,131,101,175,230
209,147,142,148,208
210,178,28,124,286
211,65,54,154,374
212,184,99,117,193
213,115,59,329,255
214,120,144,239,257
215,22,103,233,314
216,34,138,287,158
217,143,70,166,255
218,110,67,389,233
219,187,60,134,255
220,110,75,128,256
221,290,97,145,142
222,45,43,270,342
223,58,54,441,320
224,160,65,156,234
225,89,34,228,339
226,94,22,222,470
227,123,49,306,200
228,110,52,219,368
229,122,64,176,338
230,188,151,197,115
231,91,53,250,221
232,116,37,144,453
233,114,86,302,285
234,155,118,222,184
235,156,25,198,349
236,215,59,111,353
237,55,46,121,119
238,183,98,114,217
239,204,60,152,281
240,48,68,167,414
241,101,64,165,404
242,52,51,278,448
